cityId,city
0,Aceh
1,Aceh Tengah
2,Aceh Utara
3,Agam
4,Alor
5,Ambarawa
6,Ambon
7,Amuntai
8,Badung
9,Bali
10,Banda Aceh
11,Bandar Lampung
12,Bandung
13,Bangkalan
14,Bangli
15,Banjar Baru
16,Banjarmasin
17,Banjarnegara
18,Bantul
19,Banyumas
20,Banyuwangi
21,Batu
22,Bau-Bau
23,Belitung
24,Belitung Timur
25,Bengkalis
26,Bengkulu
27,Berastagi
28,Berau
29,Bima
30,Bintan
31,Blitar
32,Blora
33,Bogor
34,Bondowoso
35,Bone
36,Boyolali
37,Bukittinggi
38,Buleleng
39,Bulungan
40,Ciamis
41,Cilacap
42,Cirebon
43,Deli Serdang
44,Demak
45,Denpasar
46,Depok
47,Ende
48,Gianyar
49,Gorontalo
50,Gowa
51,Gresik
52,Grobogan
53,Gunung Kidul
54,Gunungsitoli
55,Jakarta
56,Jakarta Barat
57,Jakarta Barat 
58,Jakarta Pusat
59,Jakarta Selatan
60,Jakarta Timur
61,Jakarta Utara
62,Jambi
63,Jayapura
64,Jember
65,Jembrana
66,Jepara
67,Jombang
68,Karanganyar
69,Karangasem
70,Karawang
71,Karimunjawa
72,Karo
73,Kebumen
74,Kediri
75,Kendari
76,Kepulauan Selayar
77,Kepulauan Seribu
78,Ketapang
79,Klaten
80,Klungkung
81,Krembangan
82,Kudus
83,Kuningan
84,Kupang
85,Kutai Barat
86,Kutai Kartanegara
87,Lamongan
88,Lampung
89,Lampung Timur
90,Langkat
91,Langsa
92,Lebak
93,Lhokseumawe
94,Lima Puluh Kota
95,Lingga
96,Lubuklinggau
97,Lumajang
98,Luwu
99,Magelang
100,Majalengka
101,Makassar
102,Malang
103,Maluku Tengah
104,Manado
105,Manggarai
106,Maros
107,Mataram
108,Medan
109,Minahasa
110,Mojokerto
111,Muna
112,Natuna
113,Nganjuk
114,Ogan Komering Ulu
115,Padang
116,Padang Panjang
117,Padangpanjang
118,Palangka Raya
119,Palembang
120,Palu
121,Pangandaran
122,Pangkajene
123,Pangkal Pinang
124,Pasaman
125,Paser
126,Pasuruan
127,Pekalongan
128,Pekanbaru
129,Pematang  Siantar
130,Pematang Siantar
131,Pesawaran
132,Pesisir Selatan
133,Pidie Jaya
134,Pontianak
135,Poso
136,Probolinggo
137,Purbalingga
138,Purwokerto
139,Purworejo
140,Sabang
141,Salatiga
142,Samosir
143,Sampit
144,Sawahlunto
145,Semarang
146,Serang
147,Siak
148,Sidoarjo
149,Sikka
150,Simalungun
151,Sintang
152,Sleman
153,Solo
154,Sragen
155,Sukabumi
156,Sumedang
157,Sumenep
158,Surabaya
159,Surakarta
160,Tabanan
161,Tanah Datar
162,Tangerang
163,Tangerang Selatan
164,Tanggamus
165,Tanjung Pinang
166,Tarakan
167,Tebing Tinggi
168,Temanggung
169,Ternate
170,Tidore Kepulauan
171,Toraja
172,Toraja Utara
173,Tuban
174,Waingapu
175,Wajo
176,Wonogiri
177,Yogyakarta
