id,review,label
1,"htm 12k pas work day bisa naik 2x lipat pas weekend, saya selalu betah kalo main disini tempatnya adem, sejuk juga banyak jajanannya, suasananya cukup menenangkan, walaupun ada banyak sampah yang masih belum bisa di kelola dengan baik oleh pengunjung maupun pihak PAI sendiri",1
2,"Bener-bener indah bgt sesuai namanya 😍 destinasi wisata terwajib bagi yg ingin berkunjung ke tegal. Alami bgt pantainya, gak begitu kotor, pemandangannya luar biasa MasyaAllah, recommended bgt kalo kesini sore-malam.",1
3,"View pantai khas pantai utara Jawa. Pantai dengan ombak tenang, dan air berwarna kecoklatan apalagi waktu cuaca mendung.  Kondisi pantai cukup bersih dan ada banyak warung di pantai.",1
4,"Pantai yang indah sesuai dengan namanya, dekat dengan pelabuhan jadi airnya agak kotor (kalo menurut saya sih). Banyak warung2 yg menyediakan aneka jajanan dan minuman dengan harga yg cukup terjangkau. Suasananya asyik banget buat ngabisin waktu sore hari sambil minum es kelapa muda.",1
5,"Tempatnya sudah ada perubahan tambah rapih dan bamyak spot poto, udah 6 tahun baru berkunjung lagi kesini.. Ya cocok untuk bawa anak2 liburan sekolah..",1
6,"Pantai nya lumayan rapi , warung nya ga terlalu mahal untuk ukuran tempat wisata, fasilitas lengkap mushola dan kamar mandi lalu ada spot foto bahari",1
7,"pantai alam indah tegal lumayan bersih,Tiket masukk bayar 12rb 2 orang,Parkir motor 5ribu",1
8,"Harga tiket masuknya udah murah, tapi banyak banget sampah yang berserakan.",0
9,"tempat berlibur keluarga untuk warga tegal dan sekitarnya, kalau weekend sudah jelas akan ramai sekali.",1
10,Tempatnya bagus buat refreshing piknik tipis tipis...pas kesana air lagi pasang jadi bagus banget percikan air lautnya,1
11,"Wow! Aku suka banget PAI yang sekarang sih, karena di tepi pantai ada area berteduh yang dekat banget untuk menikmati suara ombak. Anggaplah Bali nya tegal😂 Jangan ketinggalan juga buat makan mendoan atau mie. Beuh, mantap pisan.  Untuk HTM Rp 11.000 per orang, aku datang pas weekend. Ga tau kalau hari biasa. Sedangkan untuk tiket parkir harganya Rp 3.000.  Sayangnya tadi pas ke sana sorenya mendung, jadi ga bisa menikmati keindahan senja -- ciat ciat ciat. Soalnya PAI ini salah satu pantai yang langitnya bagus banget saat matahari terbenam.  O yaa, agak lupaaa. Mungkin untuk jalanannya diperbaiki ya, supaya ga becek.",1
12,"Pantai utara dikota Tegal, lokasinya tidak jauh dari pusat kota tegal, sayangnya menurut saya pantainya kurang bersih, masuk kesini bertiga bayar 12rb, dan parkir 5rb, sekitar bibir pantai ada sampah tas juga jadi kurang bersih pemandangannya, semoga segera ditingkatkan kebersihan pantainya",-1
13,"Pantainya bagus, enak buat berenang, tapi sayang pantainya kotor. Kita juga bisa lihat lalu lalanh kapal kapal besar, karena dekat dengan pelabuhan",1
