itemId,destinationLabel,description,category,city,rating,lat,long,image,wikipediaArticle,coordinates
7EzW8sTh9gaKg9UoBFacXX,Air Terjun Gitgit,"Air terjun Gitgit adalah air terjun yang terletak di kabupaten Buleleng, Bali. Air terjun ini terletak di Desa Gitgit, Kecamatan Sukasada, Buleleng yang berjarak 11 km ke arah selatan dari Singaraja.",2,38,4.3,-8.1913,115.1347,http://commons.wikimedia.org/wiki/Special:FilePath/Gitgit%20Waterfall%2C%20Campuhan%20area%2C%20Bali%2C%20Indonesia.jpg,https://id.wikipedia.org/wiki/Air_Terjun_Gitgit,"https://www.google.com/maps?q=-8.1913,115.1347"
V5xEUjngBkMc5tTdiVKeGh,Air Terjun Tegenungan,"Air terjun Tegenungan adalah air terjun yang terletak di Desa Kemenuh, Kecamatan Sukawati, Kabupaten Gianyar, berjarak 30 km dari Kota Denpasar. Air terjun ini memiliki ketinggian 15 meter.",2,45,4.3,-8.554583,115.291386,http://commons.wikimedia.org/wiki/Special:FilePath/Tegenungan%20Waterfall%202017-08-18%20%282%29.jpg,https://id.wikipedia.org/wiki/Air_Terjun_Tegenungan,"https://www.google.com/maps?q=-8.554583,115.291386"
G6nkGoXxWC95tkhcQn2i4Y,Alun-Alun Purworejo,"Alun-Alun Purworejo adalah sebuah alun-alun atau lapangan kota yang terletak di pusat Kabupaten Purworejo. Sekeliling alun-alun terdapat beberapa bangunan penting seperti Masjid Agung Darul Muttaqin Purworejo, Gereja GPIB, KODIM, pendopo, dan kantor bupati.",4,139,4.6,-7.713013,110.009,http://commons.wikimedia.org/wiki/Special:FilePath/Alun-Alun%20Purworejo%20Sign%20-%2018%20Jan%202020.jpg,https://id.wikipedia.org/wiki/Alun-Alun_Purworejo,"https://www.google.com/maps?q=-7.713013,110.009"
GLXR7hBpCKsZUk3FgEqDvQ,Bali Safari & Marine Park,"Bali Safari & Marine Park (BSMP) merupakan tempat wisata keluarga berwawasan lingkungan yang terletak di Desa Serongga, Kec. Gianyar, Kabupaten Gianyar, Bali.",4,48,4.5,-8.581,115.3441,http://commons.wikimedia.org/wiki/Special:FilePath/Bali%20Safari%20%26%20Marine%20Park.jpg,https://id.wikipedia.org/wiki/Bali_Safari_%26_Marine_Park,"https://www.google.com/maps?q=-8.581,115.3441"
SEpL8LSMzbH6kXZPsRykkW,Batu Secret Zoo,"Batu Secret Zoo merupakan tempat wisata dan kebun binatang modern yang terletak di Kota Batu, Jawa Timur. Batu Secret Zoo yang berada di tanah seluas 14 hektare tersebut merupakan bagian dari Jatim Park 2, selain Pohon Inn dan Museum Satwa.",2,21,4.8,-7.884,112.525,http://commons.wikimedia.org/wiki/Special:FilePath/Batu%20Secret%20Zoo%2C%20Batu-East%20Java%2C%20Indonesia%202.jpg,https://id.wikipedia.org/wiki/Batu_Secret_Zoo,"https://www.google.com/maps?q=-7.884,112.525"
6KdnRTBfHo7rg2P2ZZLekf,Benteng Marlborough,"Benteng Marlborough (Inggris: Fort Marlborough) adaah benteng peninggalan Inggris di Kota Bengkulu. Benteng ini didirikan oleh East India Company (EIC) tahun 1714-1719 di bawah pimpinan gubernur Joseph Callet sebagai benteng pertahanan Inggris. Benteng ini didirikan di atas bukit buatan, menghadap ke arah Kota Bengkulu dan memunggungi Samudra Hindia.",1,26,4.6,-3.78748,102.25099,http://commons.wikimedia.org/wiki/Special:FilePath/Bengkulu%20City%20and%20Fort%20Marlborough.jpg,https://id.wikipedia.org/wiki/Benteng_Marlborough,"https://www.google.com/maps?q=-3.78748,102.25099"
eFeQRdGpoCtEjtT2tT2a5G,Benteng Pendem,"Benteng Pendem Cilacap (bahasa Belanda: Kustbatterij op de Landtong te Tjilatjap), merupakan benteng pertahanan peninggalan pemerintah Hindia Belanda yang terletak di tepi pantai Cilacap, Jawa Tengah. Benteng Pendem dibangun pada tahun 1861 dan selasai tahun 1879 dengan luas wilayah 10,5 ha.",1,41,4.3,-7.74921,109.017,http://commons.wikimedia.org/wiki/Special:FilePath/Barracks%2C%20Benteng%20Pendem%2C%20Cilacap%202015-03-21.jpg,https://id.wikipedia.org/wiki/Benteng_Pendem_Cilacap,"https://www.google.com/maps?q=-7.74921,109.017"
RenyaweZ8w8rKjhfgBrmJE,Benteng Rotterdam,"Fort Rotterdam (Benteng Rotterdam) atau Benteng Ujung Pandang (Jum Pandang) adalah sebuah benteng peninggalan Kerajaan Gowa-Tallo. Letak benteng ini berada di pinggir pantai sebelah barat Kota Makassar, Sulawesi Selatan.",1,101,4.5,-5.13439,119.40575,http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Rotterdam%2C%20Makassar%2C%20Indonesia%20-%2020100227-02.jpg,https://id.wikipedia.org/wiki/Fort_Rotterdam,"https://www.google.com/maps?q=-5.13439,119.40575"
Gx4ztoG7xcPwdSwU7mvUFv,Benteng Vredeburg,"Museum Benteng Vredeburg adalah sebuah museum yang terletak di depan Gedung Agung dan Kraton Kesultanan Yogyakarta. Sekarang, benteng ini menjadi sebuah museum.",1,177,4.6,-7.800436,110.365686,http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Vredeburg%2C%20Yogyakarta%2C%20Indonesia.JPG,https://id.wikipedia.org/wiki/Museum_Benteng_Vredeburg,"https://www.google.com/maps?q=-7.800436,110.365686"
gNsR4dpKbbQvNmMdt9oQWX,Borobudur,"Candi Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.",1,99,4.7,-7.60793,110.20384,http://commons.wikimedia.org/wiki/Special:FilePath/Borobudur-Nothwest-view.jpg,https://id.wikipedia.org/wiki/Borobudur,"https://www.google.com/maps?q=-7.60793,110.20384"
