id,review,label
1,Bagus banget pemandangannya. Kalau mau masuk Kaliurang pas wiken bayar 8.000 tp kalo weekday kayaknya 5.000 aja.,1
2,"Pendakian Gunung Merapi via Selo banyak diminati karena bisa sekalian melanjutkan misi ke Gunung Merbabu. Sedangkan pendakian via Kaliurang tidak terlalu populer dan lebih sering ditutup jika status Gunung Merapi meningkat.  Di Pos New Selo, bisa memilih untuk mendaki Gunung Merapi atau Gunung Merbabu. Kadang pendaki mendaki secara bergantian sehingga muncul istilah populer kedua gunung ini sebagai 2M.",0
3,view puncak gunung memukau sekali,1
4,"“Gunung Merapi”  Jika melihat ulasan disini mengenai Gunung Merapi sepertinya ulasan mereka tentang pengalaman dan kesan mereka saat “Mendaki”. Saya akan memberikan ulasan saya dalam perspektif yang lain, hehehe.  Saya sangat menikmati sekali setiap perjalanan saya yang berkenaan dengan pemandangan alam, yaitu salah satunya berkaitan dengan Gunung Merapi.  Gunung Merapi tentu setiap orang memiliki kesan pribadi didalam pikiran bawah sadar setiap orang. Dan saya memiliki kesan yang baik dan istimewa mengenai Gunung Merapi ini. Karena banyak kenangan indah yang saya ciptakan dengan orang-orang yang saya kasihi dan latar belakang Gunung Merapi tidak lepas dari pandangan saya. Sehingga kesan fragmen memori saya terhadap Gunung Merapi, dalam ruang kesadaran saya banyak hal positif di dalamnya. Ia ibarat “jangkar”, yang mana ketika saya membuka dan mengingat memori saya terhadap Gunung Merapi, perasaan bahagia dan kesan positif seolah membanjiri tubuh persis ketika jalinan emosi positif tentang Gunung Merapi terbentuk di awal masa lalu.  Gunung Merapi…. Terima kasih",1
5,"Gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara. Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapi sejak tahun 2004.",0
6,"Bagus pemandangan nya,apalagi saat sy kesini merapi menunjukan wajahny tanpa ada kabut ,banyak sekali spot wisata🤩",1
7,"Kawasan Gunung Merapi di sekitar Kaliurang juga sangat bergantung pada aktivitas vulkanik yang kadang-kadang meningkat, sehingga warga masyarakat juga perlu selalu waspada. Selain ada bahaya letusan yang berkait dengan volume tumpukan lava maupun peluncuran lahar, ada juga kemungkinan terjadi hembusan awan panas yang seiring dengan keluarnya lahar. Hujan abu juga merupakan akibat lain yang muncul bersama semuanya itu",-1
8,Salah satu gunung berapi yang masih aktif di Indonesia. Keberadaannya menjadi sisi historis yang tidak bisa dipisahkan dari kota Yogyakarta. Ada beberapa objek wisata yang ditawarkan di area ini seperti tur menggunakan jip dll,0
9,"Gunung Metapi adalah salah saru gunung berapi aktif di Pulau Jawa. Gunung Merapi terletak di perbatasan Jawa Tengan dan Yogyakarta. Banyak cerita mistis yang beredar. Juru kunci Gunung Merapi adalah Mbah Marijan. Sakingcterkenalnya Mbah Marijan sampai dijadikan bibtang iklan di televisi. Slogan yang terkenal adlah ""Ruso ruso ruso!"" Gunung Merapi akan terlihat indah dan gagah dilihat dari kejauhan. Manfaat gunubg Merapi bagibwarga di sekitarbya sangat banyak sekali. Tanahnya subur, pasir dan sebagainya. Gunung Metapi yang indah. Jasamu akan selalu ada  untuk masyarakat sekitarmu Gunung Merapi Alangkah indahmu Walau kadang menakutkan Walau kadang menyeramkan Kau akan selalu gagah dan indah",1
10,"Gunung ini adalah gunung termuda dalam rangkaian gunung berapi yang mengarah ke selatan dari Gunung Ungaran, Gunung Merbabu, dan Gunung Merapi. Gunung ini terbentuk karena aktivitas di zona subduksi Lempeng Indo-Australia yang bergerak ke bawah Lempeng Eurasia menyebabkan munculnya aktivitas vulkanik di sepanjang bagian tengah Pulau Jawa.",0
11,"Puncak Garuda, Puncak Menawan",1
12,Gunung merapi merupakan salah satu gunung berapi yg aktif di Indonesia. Tepatnya gunung ini di yogyakarta.. gunung ini biasanya meletus sekitar 4 thn sekali... ketika gunung ini meletus wahhh abunya bisa nyampe kemana2. Terakhir x meletus sekitar th 2011 dah.. meletus besar... wahh avu panasnya merusak banyak tanaman . Ketika di jalanan.. abu tebal berterbangan.. sehingga jarak pandang melihat sangat pendek.. smua pada kotor ketimpa abu..  batu guede2 bisa ada di tengah jalan berserakan.. korban meninggal wkt itu jg banyak... ngere dah dan capek bersih2nya 😁.. dan akhir2 ini merapi mulai terbatuk2 nih...,-1
13,"Saya sedikit lupa sama perjalanan di Gunung Merapi, cuma ingat di museumnya. Tapi seingat saya cukup puas sama perjalanannya",1
14,"Sewa jeep merapi Rp350.000, rute short, off road air, ke museum sisa hartaku, the lost world castle dan stonehenge( tiket masuk bayar sendiri), merapi salah satu gunung paling aktif di pulau jawa terletak ditengah2 pulau jawa, dibalik keeksotisannya merapi menyimpan keganasan,,bbrp x erupsi hebat di tahun 2006 dan 2010 telah memakan banyak korban jiwa, namun dibalik itu semua merapi memberikan janji akan kesuburan tanah yogya dan sekitarnya,,pasir yg melimpah dan kesuburan tanah bukti merapi tak pernah ingkar janji kepada masyarakat sekitar,",0
