id,review,label
1,"Bagus tempatnya, luas juga Harga tiket masuk per orang 50 ribu Anak",1
2,"balita free tiket masuk Parkir mobil 10 ribu Bagus kesini pagi atau sore hari, kalau siang panas banget Buat yg bawa balita, disarankan bawa stroller Kalo yg mau kesini siang, sedia payung Usahakan kesini weekday ya Biar ga terlalu ramai pengunjung. Biar bagus hasil fotonya Menurut saya, harga tiket 50 ribu itu terlalu mahal untuk wisata lokal. Apalagi itu hanya tiket masuk. Tanpa include free snack atau minuman dingin  Cagar budaya yang indah & luas, bisa belajar sejarah & cuci mata dengan ruang terbuka hijau yang terawat & sangat luas. Satu tiket bisa menikmati indahnya Candi Prambanan, Candi Sewu, Candi Bubrah & Candi Luwung. Sayangnya banyak bongkahan batu candi yang belum tersusun, semoga dinas terkait dapat berupaya agar candi-candi dapat tersusun.",-1
3,"Ketika saya berkunjung ke sini tidak boleh menaiki tangga ke Candi. Disediakan jg toilet dan mushola yang lumayan terjaga kebersihannya. Ketika di dalam area sangat kesulitan mencari penjual makanan, saat lapar & haus terasa banget jadinya.",0
4,"Salah satu candi yang cukup hits selain Candi Borobudur. Lokasinya ada di pinggir kota Yogyakarta, apabila kesini disarankan membawa kendaraan pribadi atau mobil sewa, karena sangat jarang kendaraan aplikasi yang ada untuk pulang ke pusat kota. Pemandangan terbaik adalah di pagi hari, karena tidak terlalu terik dan ketika menjelang siang, sinar matahari cukup terang sehingga dapat mendapat foto dengan lightning yang bagus.",0
5,"Ketika saya pergi, banyak rombongan anak sekolah yang datang, sehingga beberapa titik foto cukup penuh dengan orang. Namun ada beberapa titik yang masih kosong dan dapat dijadikan spot foto ketika berkunjung kesini. Lokasi candi ini sendiri tergolong luas, di sekitarnya juga terdapat beberapa candi lagi seperti Sewu, dll yang terdapat di 1 area (tidak  perlu tambahan tiket). Di pintu keluar terdapat beberapa toko yang menjual souvenir khas Yogyakarta.",0
6,"Salah satu wisata paling disuka di Jawa Tengah. Berkali-kali datang kesini candinya tetap epik dan terjaga dengan baik. Di tengah pandemi covid, fasilitas dan keamanan sangat baik, bahkan apabila ada yang bergerombol atau keadaan ramai staff langsung tegas mengingatkan prokes. Syukur sekali kemarin datang pasca hujan gerimis jadi diawal wisatawan masih tidak terlalu ramai. Berkeliling santai diarea candi prambanan ini merupakan hal yang paling menyenangkan, diimbuhi dengan areanya yang hijau dan rapih. Namun sayang sekali, dulu untuk masuk kedalam Candi Siwa, Brahma, atau Rara Jonggrang masih diperbolehkan untuk melihat stupa-stupa didalamnya, sekarang tidak jalur untuk naik ditutup. Secara keseluruhan, pengalaman yang menyenangkan untuk berkunjung di Candi Prambanan",1
7,Sejarah banget nih... .. cuman kalo mau kesana jangan siang siang soalnya panas bangetttt....terus ambil paket tiket masuk Prambanan dan Ratu boko kalo weekday harganya 50 ribu dan weekend 75 ribu. Jadi parkir kendaraan di Candi Prambanan dan keliling dulu disekitar prambanan setelah puas  bisa langsung Spot mobil Tournya yang sudah disediakan (Mobil Mini Bus) bersiap siap perjalanan sekitar 25 menitan dech.....sampai ke ratu boko lgsg tunjukin tiket yang kita beli tadi dan masuk dechhhh ....perjalanan menuju parkiran banyak counter counter penjual souvenir dan makanan  monggo mampirrrrr....,0
8,"Biaya masuk 50rb/dewasa, 25/anak. Ada tarif sendiri kalo mau mengunjungi tempat wisata lainnya disitu. Kalo mau pake guide juga bisa bayar  jasanya. Banyak spot foto menarik, yg berbayar juga ada, 20rb. Ada sewa sepeda juga untuk keliling. Pas keluar candi, kita bakal disuguhin pasar jajanan sm souvenirnya tuh. Dan percaya deh, kalo ke jogja dan masuk prambanan, mending belanja disini aja deh. Harga sama aja bahkan lebih murah. Kaos 50rb/3pc. Gelang 1000an. Tas anyam yg di pasar sebelah itu 100, di prambanan cuma 70, ga pake nawar tajem lagi. Enak bangetlah disini, ramah juga. Jajanan juga enak. Tp pecel disini masak sayurnya stengah mateng, kurang suka฀ mending es dawetnya yg di pintu keluar ke-5. Oiya baru tau kalo tangganya udah ga boleh dinaikin, takut rusak kali ya krn udah dimakan usia. Oiya kalo berkunjung ke jogja pas ketemu orang jogja enak banget. Tapi giliran ketemu turis lokal ya (dari daerah lain) agak gimanaaa gitu. Kemaren aku duluan yg mau foto eh mereka asal  nimbrung aja, ku bilang sm tour guidenya, ""maaf mas sy mau poto dlu  bentar boleh ya?"" Eh para turisnya agak susah geser ฀ Kalo yg lain biasanya pengertian sih, mau gantian, terutama yg orang setempat. Tp di prambanan kemaren agak syulit. ฀฀ meskipun tidak semua yaaa, hanya diantaranya saja. Selainnya bagus bangettt. Sip lah prambanan.",1
9,"Akhirnya bisa membawa keluarga berkunjung ke candi yang megah, cantik dan luas ini. Tidak ada persyaratan khusus setelah pandemi sedikit mereda  ini. Tetap patuhi protokol kesehatan. Kompleks candi utama belum bisa dinaiki seperti peraturan di Candi Borobudur. Namun sebagai alternatif kita bisa puas berjalan-jalan di Candi Sewu atau candi-candi Lumbung dan Bubrah. Anak-anak pasti senang berada di Candi Sewu karena mengingatkan mereka pada kisah Roro Jonggrang. Tidak perlu capek mengitari kompleks candi seluas 80 hektar ini karena telah disediakan alat transportasi mini shuttle dan electric golf car. Tarif sewa mini shuttle sekitar Rp. 30  ribu seorang sedangkan golf car Rp 200 ribu per mobil dan lebih privat.",1
10,Candi kedua setelah borobudur yang pernah dikunjungi. Sayang sekali masuk ke dalam candinya tidak diperbolehkan sejak masa pandemi dan belum dibuka hingga skrg. Penasaran mau lihat langsung patung Loro Jonggrang.,0
11,Keseluruhan area candi telah ditata dengan baik. Kebersihan terjaga dan sangat asri. Semoga candinya tetap lestari hingga anak cucu beribu tahun lagi.,1
12,"Satu hal yang langsung terlintas di otak ketika dateng kesini. Penataan nya rapi 👍. Suka sekali jalan jalan ke sini walaupun cuaca sangat  panas. Sayang sih belum bisa masuk ke candi karna masih dalam kondisi  pzandemi. Mudah mudahan pandemi segera berakhir dan saya bisa ke sana lagi  😄. Oh iya, mas tour guide nya juga sangat baik dalam menjelaskan  sejarah candi Prambanan ini. Kita juga dituntun ke spot foto yang bagus  dimana, tour keliling pakai kereta juga tour guide nya sangat rapi dalam  menjelaskan. Kalau ketemu beliau disana, jangan ragu untuk memakai jasa  beliau ya 😄. Cuma saya lupa siapa nama beliau 😁✌. Pokoknya bapak  tour guide terima kasih banyak ya sudah menjelaskan secara singkat, padat,  rinci dan jelas selama mengelilingi candi Prambanan ini. Semoga bapak  sehat selalu, mudah rezekinya dan mudah mudahan saya juga ada kesempatan  dan rezeki bisa kesana lagi dan bertemu bapak kembali 😁",1
